Continent,Country ,Place,Typology,Main cluster,Coordinates,Visual language 2000,Visual language 2001,Visual language 2002,Visual language 2003,Visual language 2004,Visual language 2005,Visual language 2006,Visual language 2007,Visual language 2008,Visual language 2009,Visual language 2010,Visual language 2011,Visual language 2012,Visual language 2013,Visual language 2014,Visual language 2015,Visual language 2016,Visual language 2017,Visual language 2018,
Europe,Slovakia,Gabčíkovo,power plant,facility,"47°53'03.3""N 17°32'24.9""E",no photo,no photo,no photo,no photo,no photo,covered,no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,not censored,low quality,no data,not censored,not censored,
Europe,France,Baumettes,prison,facility,43°13′59.5″N 5°24′52.5″E,no photo,no photo,no photo,not censored,no photo,no photo,no photo,not censored,blurred,no photo,no photo,not censored,no photo,not censored,blurred,pixeled/not censored,pixeled/not censored,pixeled,pixeled/blurred,
Europe,France,Prison of Saint-Quentin-Fallavier,prison,facility,"45°39'32.6""N 5°07'36.0""E",no photo,no photo,not censored,not censored,not censored,no photo,no photo,not censored,no photo,no photo,no photo,no photo,covered,no photo,no photo,not censored,not censored,blurred/not censored,not censored,
Europe,France,Riom prison,prison,facility,45°53′25.4″N 3°09′01.1″E,no photo,no photo,no photo,no photo,covered,no photo,covered,covered,no photo,no photo,no photo,no photo,covered,covered,no photo,no photo,no photo,not censored,not censored,
America,US,Elmira correctional facility,prison,facility,"42°56'07.2""N 76°34'20.1""W",no photo,no photo,no photo,blurred/ covered,no photo,not censored,blurred/not censored,no photo,not censored,not censored,no photo,not censored,no photo,not censored,no photo,not censored,no photo,no photo,no photo,
America,US,Auburn Correctional Facility,prison,facility,"42°56'06.5""N 76°34'19.6""W",no photo,no photo,no photo,blurred/low quality,no photo,not censored,blurred,no photo,not censored,not censored,no photo,not censored,no photo,not censored,no photo,not censored,no photo,no photo,no photo,
Europe,Ireland,Portlaoise prison and Irish Prison Service Training College,prison and school,facility,"53°02'12.3""N 7°17'14.5""W",no photo,no photo,no photo,no photo,no photo,not censored,no photo,covered,not censored,no photo,no photo,not censored,no photo,no photo,no photo,covered,not censored,no photo,not censored,
Europe,Netherlands,Former House of Mandemakers,private house,facility,51°39′49.2″N 5°00′42.4″E,no photo,no photo,no photo,no photo,no photo,covered,no photo,no photo,no photo,no photo,no photo,no photo,no photo,covered,covered,covered,covered,no photo,covered,
Europe,Russia,Alexey Miller's House,private house,facility,"56°06'23.9""N 36°49'36.0""E",no photo,no photo,no photo,no photo,not censored,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,not censored,no photo,no photo,no data,not censored,not censored,
Europe,Portugal,Ministero da difesa nacional,government building,government building,"38°42'15.7""N 9°12'24.2""W",no photo,not censored,no photo,no photo,not censored,not censored,not censored,blurred,no photo,not censored,no photo,no photo,not censored,no data,covered,not censored,not censored,no photo,not censored,
America,US,Capitol building,government building,government building,"38°53'23.3""N 77°00'32.6""W",not censored,not censored,not censored/pixeled/ not censored/pixeled,not censored,not censored,pixeled/not censored,not censored,not censored,not censored,covered,pixeled/not censored,not censored,not censored,not censored/pixeled,not censored,not censored,not censored,not censored,not censored,
Europe,Belgium,West Flanders Office,government officies,government building,51°12′37″N 3°13′24″E,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,not censored,no photo,no photo,no photo,no photo,no photo,not censored,pixeled,not censored,pixeled,
Europe,France,Cadarache Center,Office of Atomic Energy(Governament research organization),government building,43°41′23″N 5°45′38″E,no photo,no photo,no photo,low quality,not censored,no photo,no photo,no photo,low resolution,not censored,no photo,no photo,no photo,no photo,not censored,not censored,pixeled,pixeled/pixeled,pixeled,
America,US,Number one observatory circle,official residence of the Vice President,government building,"38°55'14.8""N 77°03'56.7""W",not censored,not censored,not censored/pixeled/ not censored/pixeled,not censored,not censored,pixeled/not censored,no photo,not censored,not censored,no photo,not censored,not censored,not censored,covered,covered,not censored,not censored,not censored,not censored,
America,US,White House,president house,government building,"38.897866, -77.036485",not censored,not censored,not censored/covered/not censored/covered,not censored,not censored,pixeled/not censored,not censored,not censored,not censored,not censored,blurred/not censored,not censored,not censored,not censored/blurred,not censored,not censored,not censored,not censored,not censored,
Europe,Netherlands,Noordeinde Palace,royal palace,government building,"52.081085, 4.306921",no photo,no photo,no photo,not censored,no photo,covered/pixeled,pixeled,pixeled,pixeled,no photo,no photo,not censored,not censored,not censored,not censored,not censored,not censored,no photo,not censored,
Europe,Netherlands,Huis ten bosh,royal palace,government building,"52°05'35.6""N 4°20'39.7""E",no photo,no photo,no photo,not censored,no photo,pixeled/pixeled,pixeled,pixeled,pixeled,no photo,no photo,not censored,not censored,not censored,not censored,not censored,not censored,no photo,not censored,
Europe,Netherlands,Koninklijk palace,royal palace,government building,"52°22'23.4""N 4°53'28.9""E",not censored,no photo,no photo,no photo,not censored,not censored,not censored,not censored,pixeled,no photo,no photo,no photo,not censored,no photo,no photo,not censored,no photo,not censored,not censored,
Europe,Russia,Severnaya Zemlya,archipelago,island,79°19′22.8″N 95°19′42.13″E,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,no photo,no photo,
Oceania,France Polynesia,Atoll Moruroa,atoll,island,"21°51'59.9""S 138°54'59.8""W",no photo,no photo,no photo,no photo,no photo,no photo,covered,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,mixed techniques,no photo,no photo,
Asia,China,Taiping,island,island,"10°22'38.2""N 114°21'57.6""E",no photo,no photo,no photo,no photo,no photo,no photo,covered,no photo,no photo,no photo,no photo,no photo,covered,not censored,not censored,not censored,covered/not censored,not censored,not censored/covered,
Asia,India,North Sentinel Island,island,island,"11°33'26.1""N 92°14'15.8""E",not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,covered,not censored,covered,covered,covered,covered,covered,covered,covered,no photo,no photo,
Europe,Russia,Jeannette ,island,island,"76°46'18.8""N 158°00'31.6""E",covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,no pohoto,
Europe,Denmark,Faroe Islands,islands,island,"61°59'57.5""N 6°46'33.8""W",covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered  ,covered,covered,
America,UK,South Sandwich islands,islands,island,58°00′S 26°30′W,covered,covered,covered,not censored,covered,covered,covered,covered,covered,covered,covered,not censored,covered,covered,covered,covered,covered,no photo,no photo,
America,Mexico,Western Campeche Bank,islands,island,20°42′41.73″N 92°13′23.64″W,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,no photo,no photo,
Europe,France,Istres-Le Tubé ,air base ,military area,43°31′28″N 4°56′30″E,no photo,no photo,no photo,low quality,no photo,no photo,no photo,pixeled,low quality,no photo,low quality,no photo,no photo,no photo,low quality,pixeled/not censored,pixeled/pixeled,pixeled,pixeled/low quality,
Asia,Taiwan,Air Force General Command,Air Force General Command,military area,"25°02'23.5""N 121°32'23.2""E",low quality,not censored,not censored,not censored,no photo,not censored,pixeled,not censored,not censored,not censored,not censored,no photo,not censored,not censored,not censored,not censored,not censored,not censored,not censored,
Europe,Germany,Ingolstadt Manching ,airport,military area,"48°43'23.4""N 11°33'03.4""E",no photo,not censored,no photo,no photo,not censored,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,no photo,not censored,no photo,not censored,not censored,not censored,
Europe,Belgium,Erguemin,Belgium-Netherlands Naval Mine Warfare School,military area,51°13′28″N 2°55′19″E,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,no photo,not censored,no photo,no photo,not censored,no photo,not censored/pixeled,no photo,pixeled,
Europe,Belgium,Belgian Pipeline Organisation,corporate office,military area,"50.873104, 4.701218",no photo,no photo,no photo,not censored,no photo,no photo,no photo,not censored,no photo,not censored,no photo,no photo,no photo,not censored,no photo,not censored,pixeled,pixeled,pixeled,
Europe,Belgium,Fort Eben-Emael,fort,military area,50°47′51″N 5°40′44″E,no photo,no photo,no photo,no photo,no photo,low quality/not censored,no photo,not censored,no photo,no photo,no photo,no photo,not censored,not censored,no photo,not censored,not censored/pixeled,no photo,pixeled,
America,US,Camp Buckner parade field,Military Academy,military area,"41°21'22.5""N 74°03'13.6""W",no photo,no photo,not censored,no photo,not censored,no photo,not censored,not censored,no photo,not censored,no photo,not censored,no photo,not censored,no photo,no photo,not censored,no photo,no photo,
Europe,France,Orange-Caritat airbase,military airbase,military area,44°08′21″N 4°51′44″E,no photo,no photo,low quality,not censored,no photo,no photo,pixeled,not censored,not censored,not censored,no photo,no photo,no photo,covered,covered,covered,covered/pixeled,pixeled,pixeled,
Europe,France,Vélizy – Villacoublay airbase,military airbase,military area,48°46′21″N 2°12′58″E,no photo,no photo,mixed quality,pixeled,not censored,no photo,not censored,not censored,not censored,no photo,no photo,not censored,no photo,no photo,not censored,not censored,pixeled/low quality,not censored/pixeled,pixeled,
Europe,Greece,Andravida Air Base,military airbase,military area,"37°55'59.9""N 21°16'59.9""E",no photo,no photo,no photo,covered,no photo,no photo,no photo,covered,no photo,not censored,no photo,no photo,covered,not censored,no photo,pixeled/not censored,not censored,not censored,pixeled,
Asia,Pakistan,Shamsi Airfield,military airport,military area,"27.847699, 65.159237",no photo,no photo,no photo,not censored,not censored,no photo,no photo,not censored,no photo,no photo,not censored,low quality,no photo,no photo,not censored,no photo,no photo,no photo,not censored,
Europe,Spain,Rosas Air Station,military area,military area,42°16′45″N 3°14′17″E,no photo,no photo,no photo,no photo,covered,no photo,covered,no photo,not censored/covered,covered,covered,no photo,no photo,no photo,no photo,not censored/blurred/not censored,no photo,no photo,no photo,
America,US,The aberdeen Proving Grounds,military area,military area,"39°27'24.7""N 76°09'13.7""W",not censored,not censored,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,covered,low quality,low quality,low quality,mixed techniques,low quality,low quality,
America,US,Michael Aaf Building,Military area,military area,"40°11'06.5""N 112°55'39.1""W",no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,covered,no photo,covered,no photo,covered,no photo,no photo,no photo,no photo,no photo,
America,US,HAARP Research Facility,military base ,military area,"62°23'27.8""N 145°07'53.3""W",no photo,no photo,no photo,no photo,no photo,covered,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored  ,no photo,not censored,no photo,no photo,no photo,
America,US,Fort Drum ,military base ,military area,"44°02'20.6""N 75°46'13.0""W",no photo,no photo,no photo,low rquality,no photo,no photo,low rquality,no photo,not censored,not censored,no photo,not censored,no photo,not censored,not censored,no photo,not censored,no photo,no photo,
Europe,Greece,Ayioi Anargyroi ,military base ,military area,38°01′31″N 23°42′57″E,no photo,not censored,no photo,no photo,not censored,no photo,no photo,no photo,not censored,no photo,not censored,not censored,not censored,not censored,not censored,not censored/pixeled/low quality,not censored,not censored,not censored/pixeled/not censored,
Europe,Poland,Szefostwo Służby Hydrometeorologicznej SZ RP,Military Hydrometeorological Command Centre,military area,52°04′26″N 21°01′14″E,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,covered,not censored,no photo,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,
Europe,Portugal,NATO Ammo Depot,NATO base,military area,"38°33'05.0""N 9°06'07.6""W",no photo,no photo,not censored,no photo,not censored,no photo,not censored,no photo,no photo,not censored,no photo,no photo,no photo,no photo,covered,not censored,not censored,no photo,not censored,
Europe,France,Toulon arsenal,naval base,military area,43°7′1″N 5°54′7″E,no photo,no photo,not censored,no photo,no photo,no photo,no photo,not censored,low quality,no photo,not censored,no photo,no photo,no photo,not censored,not censored,not censored,pixeled,no photo,
Europe,France,Cherbourg naval base,naval base ,military area,"49°39'27.1""N 1°38'22.8""W",no photo,no photo,no photo,no photo,no photo,no photo,no photo,low quality,no photo,no photo,no photo,low quality,no photo,not censored,not censored,no photo,no photo,not censored,pixeled,
Europe,France,HWU transmitter,radio transmitter,military area,46°42′47″N 1°14′39″E,no photo,no photo,no photo,no photo,blurred,no photo,no photo,no photo,blurred,no photo,no photo,no photo,no photo,no photo,no photo,blurred,no photo,no photo,not censored/pixeled,
Europe,Spain,Army Command Signals,radio transmitter,military area,40°24′25″N 3°47′16″W,not censored,not censored,no photo,no photo,no photo,not censored,no photo,not censored,no photo,blurred,no photo,no photo,not censored,not censored,not censored,not censored,covered,no photo,covered,
Europe,Spain,Strategic Signals Regiment number 22,radio transmitter,military area,40°27′55″N 3°44′00″W,covered/not censored,not censored,not censored,no photo,not censored,not censored,no photo,not censored,no photo,blurred,no photo,no photo,not censored,not censored,blurred,not censored,not censored/blurred,no photo,mixed techniques,
Europe,Poland,Dowództwo Wojsk Specjalnych,special force base,military area, 50°02′13″N 19°54′14″E,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,not censored,no photo,not censored,not censored,not censored/blurred,not censored,not censored,covered/not censored,not censored/blurred/not censored,no photo,
America,US,Area 51,United States Air Force Base,military area,"37°22'20.1""N 115°32'12.0""W",no photo,no photo,no photo,no photo,no photo,no photo,mixed techniques,mixed techniques,no photo,misplaced/mixed techniques,misplaced,misplaced,no photo,mixed techniques,no photo,no photo,mixed techniques,no photo,no photo,
Asia,Afghanistan,"Camp Shorabak, Walsher District",Unknown Military Area,military area,"31°51'59.38""N  64°11'43.67""E",no photo,no photo,no photo,no photo,no photo,no photo,low resolution,low quality,low quality,low quality,low quality,low quality,low quality,low quality,low quality,low quality,low quality,no photo,no photo,
Europe,Netherlands,NATO c3 agency,militar building,military area ,"52.109911,4.326597",no photo,no photo,no photo,not censored,no photo,pixeled/pixeled,pixeled,pixeled,pixeled,no photo,no photo,not censored,not censored,not censored,not censored,not censored,not censored,no photo,not censored,
Europe,Germany,"Nato airbase, Geilenkirchen",military airbase,military area ,"50°57'17.1""N 6°03'33.3""E",pixeled,no photo,no photo,no photo,no photo,pixeled,no photo,not censored,no photo,not censored,no photo,no photo,no photo,not censored,not censored,no photo,no photo,no photo,not censored,
Europe,Germany,Ramstein airbase,military airbase,military area ,"49°26'23.2""N 7°35'41.9""E",covered,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,no photo,no photo,not censored,no photo,not censored,no photo,
Europe,France,Reims airbase,military airbase,military area ,"49°18'31.1""N 4°03'33.0""E",no photo,no photo,no photo,no photo,pixeled,no photo,mixed techniques,no photo,pixeled,no photo,no photo,no photo,low quality,no photo,covered,not censored,not censored,no photo,no photo,
Europe,Netherlands,Volkel airbase ,military airbase,military area ,"51.654597, 5.686496",no photo,no photo,no photo,no photo,no photo,pixeled,mixed techniques,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,mixed techniques/not censored,no photo,not censored,
America,US,Tonopah test range,military area,military area ,"37°47'49.7""N 116°46'18.8""W",no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,not censored,not censored,no photo,no photo,no photo,not censored,no photo,not censored,not censored,no photo,
Asia,Taiwan,National security bureau,military intelligence headquarter,military area ,"25.107496,121.535756",not censored,no photo,not censored,not censored,not censored,not censored,pixeled,no photo,no photo,not censored,not censored,no photo,not censored,not censored,not censored,not censored,not censored,not censored,not censored,
Asia,Taiwan,Army logistic command,military logistics headquarters,military area ,"25.047424, 121.591454",not censored,no photo,not censored,not censored,not censored,not censored,not censored/pixeled,no photo,no photo,pixeled,not censored,no photo,not censored,not censored,not censored,not censored,not censored,not censored,not censored,
America,US,Pave paws,missile warning radar,military area ,"41°45'18.6""N 70°32'23.7""W",no photo,covered,no photo,low quality,low quality,pixeled,low quality,not censored,blurred,no photo,not censored,no photo,not censored,no photo,not censored,not censored,not censored,not censored,not censored,
Europe,Portugal,Nato base joint command,NATO base,military area ,"38.679429, 9.321814",no photo,no photo,no photo,no photo,blurred,no photo,blurred,covered,no photo,covered,no photo,no photo,no photo,no photo,covered,not censored,not censored,no photo,not censored,
Europe,Netherlands,Personeelsvereniging Tankwerkplaats,tank manufacture,military area ,"52°07'21.7""N 5°21'26.8""E",no photo,no photo,no photo,no photo,no photo,pixeled,mixed techniques,mixed techniques,mixed techniques,mixed techniques,no photo,no photo,not censored,no photo,not censored,no photo,not censored,no photo,not censored,
Antarctica,Antarctica,"Unknown site, 14 mile of ice",glacier,natural area,"70°10'39.6""S 87°49'29.0""E",not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,no photo,no photo,
America,Canada,Baker lake,lake,natural area,"64°20'55.0""N 96°01'13.6""W",not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,no photo,no photo,
Asia,China,Mapam Yumco,lake,natural area,"30°51'20""N 81°39'48""E",no photo,no photo,no photo,no photo,no photo,covered,no photo,covered,no photo,not censored,covered,covered,covered,no photo,no photo,covered,no photo,no photo,covered,
Asia,Iraq,Babylon-razzaza lake,lake,natural area,"32°46'47.2""N 43°35'31.9""E",not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,covered,covered,covered,covered,covered,covered,covered  ,no photo,no photo,
Asia,Nepal,Snow Saddle,mountain peak,natural area,"27°47'58.4""N 86°48'27.5""E",not censored,no photo,no photo,not censored,no photo,not censored,no photo,no photo,covered,no photo,no photo,no photo,no photo,covered,not censored,not censored/covered,no photo,covered/not censored,no photo,
America,Chile,Tantauco ,National Park,natural area,43°11′56.11″S 74°15′50.91″W,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,covered,covered,covered,covered,covered,covered,covered,covered,no photo,no photo,
America,US,Unknown area in Oregon,natural area,natural area,"46°01'22.4""N 123°15'47.7""W",not censored,not censored,not censored,not censored,no photo,covered,not censored,no photo,no photo,no photo,no photo,not censored,covered,no data,covered,no photo,not censored,not censored,covered,
Europe,France,AREVA La Hague,nuclear fuel reprocessing facility,nuclear site,49°40′49″N 1°52′48″W,no photo,no photo,not censored,no photo,no photo,no photo,no photo,low quality,no photo,no photo,no photo,not censored,no photo,covered,low quality,not censored,no photo,no photo,low quality,
Europe,France,Marcoule ,nuclear site,nuclear site,44°8′36″N 4°42′34″E,no photo,no photo,not censored,no photo,no photo,no photo,pixelated/blurred,no photo,no photo,no photo,covered,no photo,no photo,not censored,no photo,no photo,pixeled,not censored,pixeled,
America,US,Indian Point Nuclear Power Plant,nuclear power plant ,nuclear site ,"41°16'12.0""N 73°57'10.5""W",no photo,no photo,not censored,no photo,blurred,no photo,not censored,blurred,no photo,not censored,not censored,not censored,no photo,no photo,not censored,no photo,not censored,no photo,not censored,
America,US,"Seabrook Nuclear Power Station, New York",nuclear power plant ,nuclear site ,"42°53'55.9""N 70°51'10.1""W",no photo,not censored,no photo,low quality,low quality,pixeled,not censored,not censored,pixeled/not censored,not censored,not censored,not censored,no photo,not censored,not censored,not censored,not censored,no photo,not censored,
Europe,Greece,Moria Camp,refugee camp,refugee camp,39°08′4″N 26°30′13″E,no photo,no photo,no photo,no photo,no photo,no photo,not censored,not censored,no photo,no photo,no photo,not censored,no photo,not censored,not censored,covered,not censored,not censored,no photo,
Europe,France,Vauban Fortifications of Saint Martin de Rè,citadel,urban area,"46°12'16.0""N 1°21'30.6""W",no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,no photo,not censored,not censored,no photo,no photo,not censored,no photo,pixeled,pixeled,pixeled,
Asia,Israel,Tel Aviv,city,urban area,"32°04'41.8""N 34°46'31.5""E",no photo,no photo,no photo,no photo,low resolution,no photo,no photo,no photo,low resolution,low resolution,low resolution,low resolution,no photo,no photo,low resolution,low resolution,low resolution,no photo,no photo,
Europe,Russia,Chekov,city,urban area,"55°08'59.5""N 37°28'00.7""E",no photo,no photo,no photo,no photo,no photo,no photo,mixed techniques,no photo,no photo,no photo,mixed techniques,no photo,no photo,no photo,not censored,no photo,not censored,not censored,not censored,
Asia,Israel,Israel,country,urban area,"30°51'21.3""N 35°27'20.0""E",not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,no data,no photo,
Asia,North Korea,North Korea,country,urban area,"39°17'44.6""N 126°52'26.0""E",not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,no data,no photo,
Europe,Spain,"Roses, Girona",municipality,urban area,"42°15'46.2""N 3°10'39.7""E",no photo,no photo,no photo,no photo,not censored,no photo,not censored,no photo,not censored,not censored,not censored,no photo,no photo,no photo,no photo,not censored,no photo,no photo,no photo,
America,US,Mazda Raceway Laguna Seca,Raceway,urban area,"36°35'03.7""N 121°45'12.8""W",no photo,no photo,no photo,no photo,not censored,not censored/covered,covered/not censored,not censored,no photo,not censored/covered/ not censored,no photo,no photo,not censored,not censored,no photo,not censored,covered,not censored,not censored,
Europe,Spain,Patio de los Naranjos,square,urban area,36°50′20″N 2°28′20″W,no photo,no photo,covered,no photo,covered,covered/not censored,not censored,not censored,no photo,no photo,no photo,not censored,no photo,not censored,no photo,not censored,covered/blurred,blurred,no photo,
Europe,France,Moronvilliers,village,urban area,49°14′28″N 4°19′27″E,no photo,no photo,no photo,no photo,blurred,no photo,no photo,no photo,pixel,no photo,no photo,no photo,no photo,no photo,no photo,no photo,pixeled,no photo,mixed techniques,
Europe,Greece,"Unknown area near Emporio, Santorini",village,urban area,36°22′07.2″N 25°27′08.8″E,no photo,no photo,no photo,not censored,no photo,no photo,no photo,no photo,no photo,no photo,covered,no photo,not censored,no photo,no photo,not censored,not censored/pixeled/not censored,not censored,not censored,
Asia,Philippines,valencia,city,urban area ,"7.907765, 125.092966 ",no photo,no photo,no photo,covered,no photo,no photo,no photo,no photo,no photo,no photo,covered,no photo,covered,covered,not censored,no photo,not censored,not censored,not censored,
Europe,Netherlands,Vlissingen,city,urban area ,51°26′54.21″N 03°36′17.60″E,no photo,no photo,no photo,no photo,covered,pixeled,no photo,no photo,no photo,no photo,covered,covered,not censored,not censored,no photo,not censored,not censored,not censored,not censored,
Europe,Netherlands,Noordwijk aan Zee,city,urban area ,52°14'56.28N 4°26'20.79E,no photo,no photo,no photo,not censored,no photo,pixeled,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,not censored,no photo,not censored,no photo,not censored,
Europe,Spain,Girona,city,urban area ,"41°58'45.8""N 2°49'17.3""E",no photo,no photo,covered,covered,not censored,not censored,not censored,no photo,not censored,not censored,not censored,covered,covered,covered,not censored,covered,covered,not censored,not censored,
Europe,Netherlands,Oorsprongpark 8,park,urban area ,"52°05'41.3""N 5°08'15.1""E",no photo,no photo,no photo,no photo,no photo,pixeled/pixeled,not censored,not censored,no photo,no photo,no photo,no photo,no photo,no photo,not censored,not censored,not censored,not censored,not censored,
