Name,Link to their website,IG account,FB account,TW account,Link (main website),Date of publication (website),Typology (website),Google Rank (website),on 06/11/19,
Swank,http://www.swankmag.com/,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Fiesta,http://www.fiesta.co.uk/index.php,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Penthouse,https://penthousemagazine.com/,https://www.instagram.com/penthouse/?hl=it,https://www.facebook.com/penthouse,https://twitter.com/penthouse,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Lui ,http://luimagazine.com/,https://www.instagram.com/luimagazine/?hl=it,https://www.facebook.com/magazinelui/,https://twitter.com/lui,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Color Climax,https://www.colorclimax.com/,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Private,https://www.private.com/,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Debonair,https://www.debonaironline.com/,https://www.instagram.com/debonairmagazine/,https://www.facebook.com/debonairmag/,https://twitter.com/Debonairmag_ae/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Pinups,https://www.pinupsmag.com/,https://www.instagram.com/pinupsmagazine/,https://www.facebook.com/pinupsmag/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Adult,adult-mag.tumblr.com,/,/,/,https://www.dazeddigital.com/artsandculture/article/18000/1/contains-explicit-content-adult-magazine,29 Nov 2013,Magazine,7,,
Erotic Review,http://eroticreviewmagazine.com/,https://www.instagram.com/eroticreview/,https://www.facebook.com/EroticReviewMag,https://twitter.com/EroticReviewMag,http://eroticreviewmagazine.com/,Nov 2019,Magazine,9,,
