Magazine Name,Photo Name,Visual Language,,,,
Lions,05_Lions,Sketch,,,,
Lions,06_Lions,Sketch,,,,
Lions,07_Lions,Symbols,,,,
Lions,08_Lions,Symbols,,,,
Lions,09_Lions,Symbols,,,,
Lions,10_Lions,Sketch,,,,
Lions,11_Lions,Symbols,,,,
Lions,12_Lions,Symbols,,,,
Lions,13_Lions,Emoji,,,,
Lions,14_Lions,Symbols,,,,
Lions,15_Lions,Mixed techniques,,,,
Lui,01_Lui,Sketch,,,,
Lui,02_Lui,Emoji,,,,
Lui,03_Lui,Geometric shapes,,,,
Lui,04_Lui,Symbols,,,,
Lui,05_Lui,Symbols,,,,
Lui,06_Lui,Emoji,,,,
Lui,07_Lui,Emoji,,,,
Lui,08_Lui,Emoji,,,,
Lui,09_Lui,Symbols,,,,
Lui,10_Lui,Symbols,,,,
Lui,11_Lui,Symbols,,,,
Lui,12_Lui,Symbols,,,,
Lui,13_Lui,Symbols,,,,
Lui,14_Lui,Symbols,,,,
Lui,15_Lui,Symbols,,,,
Lui,16_Lui,Symbols,,,,
Lui,17_Lui,Symbols,,,,
Lui,18_Lui,Emoji,,,,
Lui,19_Lui,Symbols,,,,
Lui,20_Lui,Symbols,,,,
Lui,21_Lui,Symbols,,,,
Lui,22_Lui,Symbols,,,,
Lui,23_Lui,Symbols,,,,
Lui,24_Lui,Symbols,,,,
Lui,25_Lui,Symbols,,,,
Lui,26_Lui,Symbols,,,,
Lui,27_Lui,Symbols,,,,
Lui,28_Lui,Symbols,,,,
Lui,29_Lui,Symbols,,,,
Lui,30_Lui,Symbols,,,,
Lui,31_Lui,Symbols,,,,
Lui,32_Lui,Symbols,,,,
Lui,33_Lui,Symbols,,,,
Lui,34_Lui,Symbols,,,,
Lui,35_Lui,Symbols,,,,
Lui,36_Lui,Symbols,,,,
Lui,37_Lui,Symbols,,,,
Lui,38_Lui,Symbols,,,,
Lui,39_Lui,Symbols,,,,
Lui,40_Lui,Symbols,,,,
Lui,41_Lui,Sketch,,,,
Lui,42_Lui,Symbols,,,,
Lui,43_Lui,Symbols,,,,
Lui,44_Lui,Symbols,,,,
Lui,45_Lui,Symbols,,,,
Lui,46_Lui,Symbols,,,,
Lui,47_Lui,Symbols,,,,
Lui,48_Lui,Symbols,,,,
Lui,49_Lui,Geometric shapes,,,,
Lui,50_Lui,Symbols,,,,
Lui,51_Lui,Symbols,,,,
Lui,52_Lui,Symbols,,,,
Lui,53_Lui,Mixed techniques,,,,
Lui,54_Lui,Symbols,,,,
Lui,55_Lui,Geometric shapes,,,,
Lui,56_Lui,Mixed techniques,,,,
Lui,57_Lui,Geometric shapes,,,,
Lui,58_Lui,Symbols,,,,
Lui,59_Lui,Symbols,,,,
Lyra,01_Lyra,Emoji,,,,
Math,01_Math,Clone stamp,,,,
Math,02_Math,Mixed techniques,,,,
Math,03_Math,Geometric shapes,,,,
Nakd,01_Nakd,Sketch,,,,
Nakd,02_Nakd,Other,,,,
Nakd,03_Nakd,Clone stamp,,,,
Nakd,04_Nakd,Sketch,,,,
Nakd,05 _Nakd,Sketch,,,,
Nakd,06_Nakd,Mixed techniques,,,,
Nakd,07_Nakd,Sketch,,,,
Nakd,08_Nakd,Mixed techniques,,,,
Nakd,09_Nakd,Sketch,,,,
Nakd,10_Nakd,Geometric shapes,,,,
Nakd,11_Nakd,Emoji,,,,
Nakd,12_Nakd,Clone stamp,,,,
Nakd,13_Nakd,Pixel,,,,
Nakd,14_Nakd,Sketch,,,,
Nakd,15_Nakd,Clone stamp,,,,
Nakd,16_Nakd,Symbols,,,,
Nakd,17_Nakd,Sketch,,,,
Nakd,18_Nakd,Geometric shapes,,,,
Nakd,19_Nakd,Sketch,,,,
Nakd,20_Nakd,Sketch,,,,
Nakd,21_Nakd,Symbols,,,,
Nakd,22_Nakd,Geometric shapes,,,,
Nakd,23_Nakd,Sketch,,,,
Nakd,24_Nakd,Geometric shapes,,,,
Nakd,25_Nakd,Geometric shapes,,,,
Nakd,26_Nakd,Sketch,,,,
Nakd,27_Nakd,Sketch,,,,
Nakd,28_Nakd,Sketch,,,,
Nakd,29_Nakd,Clone stamp,,,,
Nakd,30_Nakd,Mixed techniques,,,,
Nakd,31_Nakd,Sketch,,,,
Nakd,42_Nakd,Geometric shapes,,,,
Nakd,43_Nakd,Sketch,,,,
Nakd,44_Nakd,Mixed techniques,,,,
Nasty,01_Nasty,Sketch,,,,
Nasty,02_Nasty,Sketch,,,,
Nasty,03_Nasty,Sketch,,,,
Nasty,04_Nasty,Sketch,,,,
Nasty,05_Nasty,Sketch,,,,
Nasty,06_Nasty,Sketch,,,,
Nasty,07_Nasty,Sketch,,,,
Odisseo,01_Odisseo,Pixel,,,,
Odisseo,02_Odisseo,Pixel,,,,
Odisseo,03_Odisseo,Pixel,,,,
Odisseo,04_Odisseo,Pixel,,,,
Odisseo,05_Odisseo,Pixel,,,,
Ossì Fanzine,01_Ossì Fanzine,Objects,,,,
Ossì Fanzine,02_Ossì Fanzine,Objects,,,,
Ossì Fanzine,03_Ossì Fanzine,Sketch,,,,
Ossì Fanzine,04_Ossì Fanzine,Objects,,,,
Ossì Fanzine,05_Ossì Fanzine,Objects,,,,
Ossì Fanzine,06_Ossì Fanzine,Objects,,,,
Penthouse,01_Penthouse,Clone stamp,,,,
Penthouse,02_Penthouse,Clone stamp,,,,
Penthouse,03_Penthouse,Clone stamp,,,,
Penthouse,04_Penthouse,Clone stamp,,,,
Penthouse,05_Penthouse,Clone stamp,,,,
Penthouse,06_Penthouse,Clone stamp,,,,
Penthouse,07_Penthouse,Clone stamp,,,,
Penthouse,08_Penthouse,Clone stamp,,,,
Penthouse,09_Penthouse,Clone stamp,,,,
Penthouse,10_Penthouse,Clone stamp,,,,
Penthouse,11_Penthouse,Clone stamp,,,,
Penthouse,12_Penthouse,Clone stamp,,,,
Penthouse,13_Penthouse,Clone stamp,,,,
Penthouse,14_Penthouse,Clone stamp,,,,
Penthouse,15_Penthouse,Clone stamp,,,,
Penthouse,16_Penthouse,Clone stamp,,,,
Penthouse,17_Penthouse,Mixed techniques,,,,
Penthouse,18_Penthouse,Clone stamp,,,,
Penthouse,19_Penthouse,Clone stamp,,,,
Penthouse,20_Penthouse,Clone stamp,,,,
Penthouse,21_Penthouse,Mixed techniques,,,,
Penthouse,22_Penthouse,Mixed techniques,,,,
Penthouse,23_Penthouse,Mixed techniques,,,,
Penthouse Australia,01_Penthouse Australia,Pixel,,,,
Penthouse Australia,02_Penthouse Australia,Sketch,,,,
Penthouse Australia,03_Penthouse Australia,Sketch,,,,
Penthouse Australia,04_Penthouse Australia,Symbols,,,,
Penthouse Australia,05_Penthouse Australia,Symbols,,,,
Penthouse Australia,06_Penthouse Australia,Symbols,,,,
Penthouse Australia,07_Penthouse Australia,Symbols,,,,
Penthouse Australia,08_Penthouse Australia,Symbols,,,,
Penthouse Australia,09_Penthouse Australia,Symbols,,,,
Penthouse Australia,10_Penthouse Australia,Symbols,,,,
Penthouse Australia,11_Penthouse Australia,Symbols,,,,
Penthouse Australia,12_Penthouse Australia,Symbols,,,,
Penthouse Australia,13_Penthouse Australia,Pixel,,,,
Penthouse Australia,14_Penthouse Australia,Sketch,,,,
Penthouse Australia,15_Penthouse Australia,Sketch,,,,
Penthouse Australia,16_Penthouse Australia,Clone stamp,,,,
Penthouse Australia,17_Penthouse Australia,Mixed techniques,,,,
Phile,01_Phile,Geometric shapes,,,,
Phile,02_Phile,Other,,,,
Phile,03_Phile,Pixel,,,,
Phile,04_Phile,Symbols,,,,
Pinups,01_Pinups,Mixed techniques,,,,
Pinups,02_Pinups,Mixed techniques,,,,
Pinups,03_Pinups,Mixed techniques,,,,
Pinups,04_Pinups,Mixed techniques,,,,
Pinups,05_Pinups,Pixel,,,,
Pinups,06_Pinups,Pixel,,,,
Pinups,07_Pinups,Pixel,,,,
Pinups,08_Pinups,Pixel,,,,
Pinups,09_Pinups,Pixel,,,,
Pinups,10_Pinups,Pixel,,,,
Pinups,11_Pinups,Pixel,,,,
Pinups,12_Pinups,Pixel,,,,
Pinups,13_Pinups,Geometric shapes,,,,
Pinups,14_Pinups,Pixel,,,,
Pinups,15_Pinups,Geometric shapes,,,,
Pinups,16_Pinups,Other,,,,
Pinups,17_Pinups,Geometric shapes,,,,
Playboy,01_Playboy,Pixel,,,,
Playboy,02_Playboy,Pixel,,,,
Playboy,03_Playboy,Pixel,,,,
Playboy,04_Playboy,Pixel,,,,
Playboy,05_Playboy,Pixel,,,,
Playboy,06_Playboy,Pixel,,,,
Playboy,07_Playboy,Pixel,,,,
Playboy,08_Playboy,Pixel,,,,
Playboy,09_Playboy,Pixel,,,,
Playboy,10_Playboy,Pixel,,,,
Playboy,11_Playboy,Pixel,,,,
Playboy,12_Playboy,Pixel,,,,
Playboy,13_Playboy,Pixel,,,,
Playboy,14_Playboy,Pixel,,,,
Playboy,15_Playboy,Pixel,,,,
Playboy,16_Playboy,Pixel,,,,
Playboy,17_Playboy,Pixel,,,,
Playboy,18_Playboy,Pixel,,,,
Playboy,19_Playboy,Pixel,,,,
Playboy,20_Playboy,Pixel,,,,
Playboy,21_Playboy,Pixel,,,,
Playboy,22_Playboy,Pixel,,,,
Playboy,23_Playboy,Pixel,,,,
Playboy,24_Playboy,Pixel,,,,
Playboy,25_Playboy,Pixel,,,,
Playboy,26_Playboy,Pixel,,,,
Playboy,27_Playboy,Pixel,,,,
Playboy,28_Playboy,Pixel,,,,
Playboy,29_Playboy,Pixel,,,,
Playboy,30_Playboy,Pixel,,,,
Playboy,31_Playboy,Pixel,,,,
Playboy,32_Playboy,Pixel,,,,
Playboy,33_Playboy,Pixel,,,,
Playboy,34_Playboy,Pixel,,,,
Playboy,35_Playboy,Pixel,,,,
Playboy,36_Playboy,Pixel,,,,
Playboy,37_Playboy,Pixel,,,,
Playboy,38_Playboy,Pixel,,,,
Playboy,39_Playboy,Pixel,,,,
Playboy,40_Playboy,Pixel,,,,
Playboy,41_Playboy,Pixel,,,,
Playboy,42_Playboy,Pixel,,,,
Playboy,43_Playboy,Pixel,,,,
Playboy,44_Playboy,Pixel,,,,
Playboy,45_Playboy,Pixel,,,,
Playboy,46_Playboy,Pixel,,,,
Playboy,47_Playboy,Sketch,,,,
Playboy,48_Playboy,Sketch,,,,
Playboy,49_Playboy,Sketch,,,,
Playboy,50_Playboy,Sketch,,,,
Playboy,51_Playboy,Sketch,,,,
Playboy,52_Playboy,Sketch,,,,
Playboy,53_Playboy,Sketch,,,,
Playboy,54_Playboy,Sketch,,,,
Playboy Colombia ,01_Playboy Colombia ,Pixel,,,,
Playboy Colombia ,02_Playboy Colombia ,Pixel,,,,
Playboy Colombia ,03_Playboy Colombia ,Pixel,,,,
Playboy Colombia ,04_Playboy Colombia ,Pixel,,,,
Playboy Colombia ,05_Playboy Colombia ,Pixel,,,,
Playboy Colombia ,06_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,07_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,08_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,09_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,10_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,11_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,12_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,13_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,14_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,15_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,16_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,17_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,18_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,19_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,20_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,21_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,22_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,23_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,24_Playboy Colombia ,Sketch,,,,
Playboy Colombia ,25_Playboy Colombia ,Other,,,,
Playboy Germany,01_Playboy Germany,Pixel,,,,
Playboy Germany,02_Playboy Germany,Sketch,,,,
Playboy Germany,03_Playboy Germany,Sketch,,,,
Playboy Germany,04_Playboy Germany,Sketch,,,,
Playboy Germany,05_Playboy Germany,Sketch,,,,
Playboy Germany,06_Playboy Germany,Sketch,,,,
Playboy Germany,07_Playboy Germany,Sketch,,,,
Playboy Germany,08_Playboy Germany,Sketch,,,,
Playboy Germany,09_Playboy Germany,Sketch,,,,
Playboy Germany,10_Playboy Germany,Sketch,,,,
Playboy Germany,11_Playboy Germany,Sketch,,,,
Playboy Germany,12_Playboy Germany,Symbols,,,,
Playboy Germany,13_Playboy Germany,Sketch,,,,
Playboy Germany,14_Playboy Germany,Sketch,,,,
Playboy Germany,15_Playboy Germany,Sketch,,,,
Playboy Germany,16_Playboy Germany,Symbols,,,,
Playboy Germany,17_Playboy Germany,Emoji,,,,
Playboy Germany,18_Playboy Germany,Pixel,,,,
Playboy Germany,19_Playboy Germany,Symbols,,,,
Playboy Italy ,01_Playboy Italy,Sketch,,,,
Playboy Mexico ,01_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,02_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,03_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,04_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,05_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,06_Plaboy Mexico,Other,,,,
Playboy Mexico ,07_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,08_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,09_Plaboy Mexico,Sketch,,,,
Playboy Mexico ,10_Plaboy Mexico,Symbols,,,,
Playboy Mexico ,11_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,12_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,13_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,14_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,15_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,16_Plaboy Mexico,Symbols,,,,
Playboy Mexico ,17_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,18_Plaboy Mexico,Text,,,,
Playboy Mexico ,19_Plaboy Mexico,Symbols,,,,
Playboy Mexico ,20_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,21_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,22_Plaboy Mexico,Clone stamp,,,,
Playboy Mexico ,23_Plaboy Mexico,Text,,,,
Playboy Portugal,01_Playboy Portugal,Pixel,,,,
Playboy Portugal,02_Playboy Portugal,Pixel,,,,
Playboy Portugal,03_Playboy Portugal,Pixel,,,,
Playboy Portugal,04_Playboy Portugal,Sketch,,,,
Playboy Portugal,05_Playboy Portugal,Mixed techniques,,,,
Playboy Portugal,06_Playboy Portugal,Clone stamp,,,,
Playboy Portugal,07_Playboy Portugal,Pixel,,,,
Playboy Portugal,08_Playboy Portugal,Emoji,,,,
Playboy Portugal,09_Playboy Portugal,Sketch,,,,
Playboy Portugal,10_Playboy Portugal,Symbols,,,,
Playboy Portugal,11_Playboy Portugal,Pixel,,,,
Playboy Portugal,12_Playboy Portugal,Sketch,,,,
Playboy Portugal,13_Playboy Portugal,Pixel,,,,
Playboy Portugal,14_Playboy Portugal,Pixel,,,,
Playboy Portugal,15_Playboy Portugal,Pixel,,,,
Playboy Portugal,16_Playboy Portugal,Geometric shapes,,,,
Playboy Portugal,17_Playboy Portugal,Pixel,,,,
Playboy Portugal,18_Playboy Portugal,Sketch,,,,
Playboy Portugal,19_Playboy Portugal,Mixed techniques,,,,
Playboy Portugal,20_Playboy Portugal,Sketch,,,,
Playboy Portugal,21_Playboy Portugal,Text,,,,
Playboy Portugal,22_Playboy Portugal,Symbols,,,,
Playboy Portugal,23_Playboy Portugal,Text,,,,
Playboy Sweden,01_Playboy Sweden ,Symbols,,,,
Playboy Sweden,02_Playboy Sweden ,Sketch,,,,
Playboy Sweden,03_Playboy Sweden ,Geometric shapes,,,,
Playboy Sweden,04_Playboy Sweden ,Symbols,,,,
Playboy Sweden,05_Playboy Sweden ,Text,,,,
Playboy Siwtzerland,01_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,02_Playboy Switzerland,Symbols,,,,
Playboy Siwtzerland,03_Playboy Switzerland,Geometric shapes,,,,
Playboy Siwtzerland,04_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,05_Playboy Switzerland,Other,,,,
Playboy Siwtzerland,06_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,07_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,08_Playboy Switzerland,Geometric shapes,,,,
Playboy Siwtzerland,09_Playboy Switzerland,Clone stamp,,,,
Playboy Siwtzerland,10_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,11_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,12_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,13_Playboy Switzerland,Clone stamp,,,,
Playboy Siwtzerland,14_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,15_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,16_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,17_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,18_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,19_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,20_Playboy Switzerland,Mixed techniques,,,,
Playboy Siwtzerland,21_Playboy Switzerland,Clone stamp,,,,
Playboy Siwtzerland,22_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,23_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,24_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,25_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,26_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,27_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,28_Playboy Switzerland,Pixel,,,,
Playboy Siwtzerland,29_Playboy Switzerland,Sketch,,,,
Playboy Siwtzerland,30_Playboy Switzerland,Clone stamp,,,,
Playboy Siwtzerland,31_Playboy Switzerland,Sketch,,,,
Polyester,01_Polyester,Emoji,,,,
Polyester,02_Polyester,Emoji,,,,
Polyester,03_Polyester,Clone stamp,,,,
Polyester,04_Polyester,Sketch,,,,
Polyester,05_Polyester,Symbols,,,,
Polyester,06_Polyester,Symbols,,,,
Polyester,07_Polyester,Symbols,,,,
Polyester,08_Polyester,Symbols,,,,
Pop,01_Pop,Sketch,,,,
Pop,02_Pop,Sketch,,,,
S,01_S,Sketch,,,,
S,02_S,Geometric shapes,,,,
S,03_S,Geometric shapes,,,,
S,04_S,Geometric shapes,,,,
S,05_S,Sketch,,,,
S,06_S,Sketch,,,,
S,07_S,Geometric shapes,,,,
S,08_S,Geometric shapes,,,,
S,09_S,Geometric shapes,,,,
S,10_S,Geometric shapes,,,,
S,11_S,Geometric shapes,,,,
S,12_S,Geometric shapes,,,,
S,13_S,Geometric shapes,,,,
S,14_S,Geometric shapes,,,,
S,15_S,Geometric shapes,,,,
S,16_S,Geometric shapes,,,,
S,17_S,Geometric shapes,,,,
S,18_S,Geometric shapes,,,,
S,19_S,Geometric shapes,,,,
S,20_S,Geometric shapes,,,,
S,21_S,Geometric shapes,,,,
S,22_S,Geometric shapes,,,,
S,23_S,Geometric shapes,,,,
S,24_S,Geometric shapes,,,,
S,25_S,Geometric shapes,,,,
S,26_S,Geometric shapes,,,,
S,27_S,Geometric shapes,,,,
S,28_S,Geometric shapes,,,,
S,29_S,Geometric shapes,,,,
S,30_S,Geometric shapes,,,,
S,31_S,Geometric shapes,,,,
S,32_S,Geometric shapes,,,,
S,33_S,Geometric shapes,,,,
S,34_S,Geometric shapes,,,,
S,35_S,Geometric shapes,,,,
S,36_S,Pixel,,,,
S,37_S,Pixel,,,,
S,38_S,Pixel,,,,
S,39_S,Pixel,,,,
S,40_S,Pixel,,,,
S,41_S,Pixel,,,,
S,42_S,Pixel,,,,
S,43_S,Pixel,,,,
S,44_S,Pixel,,,,
S,45_S,Geometric shapes,,,,
S,46_S,Pixel,,,,
S,47_S,Pixel,,,,
Sabat,01_Sabat,Symbols,,,,
Self Control,01_Selfcontrol,Sketch,,,,
Self Control,02_Selfcontrol,Sketch,,,,
Self Control,03_Selfcontrol,Sketch,,,,
Self Control,04_Selfcontrol,Sketch,,,,
Self Control,05_Selfcontrol,Sketch,,,,
Self Control,06_Selfcontrol,Sketch,,,,
Self Control,07_Selfcontrol,Pixel,,,,
Self Control,08_Selfcontrol,Sketch,,,,
Self Control,09_Selfcontrol,Sketch,,,,
Self Control,10_Selfcontrol,Sketch,,,,
Self Control,11_Selfcontrol,Sketch,,,,
Self Control,12_Selfcontrol,Sketch,,,,
Self Control,13_Selfcontrol,Mixed techniques,,,,
Self Control,14_Selfcontrol,Sketch,,,,
Self Control,15_Selfcontrol,Sketch,,,,
Self Control,16_Selfcontrol,Geometric shapes,,,,
Self Control,17_Selfcontrol,Sketch,,,,
Self Control,18_Selfcontrol,Sketch,,,,
Self Service,01_Self service,Symbols,,,,
Self Service,02_Self service,Objects,,,,
Self Service,03_Self service,Symbols,,,,
Self Service,04_Self service,Objects,,,,
Self Service,05_Self service,Objects,,,,
Self Service,06_Self service,Symbols,,,,
Suspira,01_Suspira,Emoji,,,,
Suspira,02_Suspira,Pixel,,,,
True Photo Journal ,01_True Photo Journal,Pixel,,,,
True Photo Journal ,02_True Photo Journal,Pixel,,,,
True Photo Journal ,03_True Photo Journal,Pixel,,,,
True Photo Journal ,04_True Photo Journal,Pixel,,,,
True Photo Journal ,05_True Photo Journal,Pixel,,,,
True Photo Journal ,06_True Photo Journal,Pixel,,,,
True Photo Journal ,07_True Photo Journal,Pixel,,,,
